timestamp,iterations,solutions,solver_checks,solver_time
1675795576.5267916,348,346,1920,78532.40326714516
1675795641.1724927,349,347,1927,78597.0284883976
1675795699.3059795,350,348,1928,78655.14582300186
1675795726.790351,351,349,1940,78682.60804271698
1675795790.8754978,352,350,1941,78746.68265271187
1675795868.6398926,353,351,1948,78824.42715525627
1675795893.5330675,354,352,1949,78849.30380153656
1675795919.1147037,355,353,1961,78874.8594789505
1675795972.8585196,356,354,1962,78928.59284234047
1675796050.8883536,357,355,1969,79006.60445857048
1675796125.0353835,358,356,1970,79080.73509073257
1675796235.6225502,359,357,1982,79191.29944467545
1675796267.5802608,360,358,1983,79223.24165177345
1675796333.8176248,361,359,1991,79289.46192216873
1675796370.7463353,362,360,1992,79326.37555670738
1675796401.74301,363,361,2002,79357.35065245628
1675796491.2238564,364,362,2003,79446.82139396667
1675796711.194626,365,363,2008,79666.7718846798
1675796769.340212,366,364,2009,79724.90179467201
1675796798.8568606,367,365,2019,79754.39736747742
1675796834.6209576,368,366,2020,79790.15135169029
1675796880.5688996,369,367,2025,79836.08021616936
1675796952.3644636,370,368,2026,79907.86164855957
1675797086.8195124,371,369,2036,80042.28561925888
1675797150.663393,372,370,2037,80106.1095046997
1675797205.574307,373,371,2042,80161.00167298317
1675797298.6432106,374,372,2043,80254.05526566505
1675797352.8201776,375,373,2053,80308.20248770714
1675797449.8185887,376,374,2054,80405.18490862846
1675797599.821048,377,375,2059,80555.1607928276
1675797731.0764189,378,376,2060,80686.39748334885
1675797778.0527918,379,377,2070,80733.35149621964
1675797839.5489838,380,378,2071,80794.83511900902
1675798017.4988525,381,379,2073,80972.76781010628
1675798083.6484976,382,380,2074,81038.90161824226
1675798119.7152336,383,381,2075,81074.95368623734
1675798200.2289886,384,382,2076,81155.45787239075
1675798245.2579896,385,383,2077,81200.47202396393
1675799011.722348,386,384,2078,81966.9252653122
1675799073.3685362,387,385,2079,82028.55409502983
1675799117.3613946,388,386,2080,82072.53169417381
1675799177.8923714,389,387,2084,82133.05026507378
1675799220.3407838,390,388,2085,82175.48320746422
1675799342.1305304,391,389,2093,82297.25402593613
1675799378.6357837,392,390,2094,82333.74535369873
1675799435.5829647,393,391,2105,82390.67008471489
1675799523.2001987,394,392,2106,82478.27206325531
1675799568.969807,395,393,2114,82524.02268719673
1675799599.6944952,396,394,2115,82554.73206758499
1675799654.3997765,397,395,2126,82609.42028188705
1675799750.19373,398,396,2127,82705.19900226593
1675799846.656679,399,397,2135,82801.64260482788
1675799894.257104,400,398,2136,82849.22699785233
1675799980.506554,401,399,2148,82935.43800735474
1675800050.2167363,402,400,2149,83005.13435578346
1675800095.8768876,403,401,2159,83050.76953697205
1675800162.6237063,404,402,2160,83117.50266647339
1675800222.5660534,405,403,2165,83177.42554569244
1675800263.6892695,406,404,2166,83218.53286147118
1675800350.4770525,407,405,2176,83305.30383849144
1675800457.209207,408,406,2177,83412.02080821991
1675800549.2684238,409,407,2182,83504.06153488159
1675800616.92726,410,408,2183,83571.70705080032
1675800688.7459779,411,409,2193,83643.50225281715
1675800744.9209926,412,410,2194,83699.66203451157
1675800837.8243158,413,411,2199,83792.5460460186
1675800897.6765447,414,412,2200,83852.38259387016
1675800929.301083,415,413,2210,83883.98522305489
1675801007.9127653,416,414,2211,83962.58219408989
1675801061.9486163,417,415,2216,84016.59845352173
1675801142.262843,418,416,2217,84096.89865636826
1675801220.975109,419,417,2227,84175.58612155914
1675801253.185413,420,418,2228,84207.78143787384
1675801308.2706394,421,419,2233,84262.84999155998
1675801359.535621,422,420,2234,84314.10143256187
1675801390.9071748,423,421,2244,84345.44975399971
1675801425.7307167,424,422,2245,84380.2636795044
1675801461.040028,425,423,2247,84415.55698823929
1675801492.4816108,426,424,2248,84446.984167099
1675801543.4869146,427,425,2249,84497.97896194458
1675801595.2137785,428,426,2250,84549.68764424324
1675801680.4169524,429,427,2251,84634.87503433228
1675801738.2399642,430,428,2252,84692.68221569061
1675801800.664808,431,429,2253,84755.09123373032
1675801919.6613889,432,430,2254,84874.07247495651
